15:43:05; Query_time: 8; CPU: 7.98%%; Memory: 14G; Ping: 3.745
15:43:07; Query_time: 7; CPU: 7.25%%; Memory: 14G; Ping: 2.237
15:43:09; Query_time: 5; CPU: 5.3%%; Memory: 14G; Ping: 10.470
15:43:11; Query_time: 6; CPU: 4.22%%; Memory: 14G; Ping: 3.943
15:43:13; Query_time: 9; CPU: 5.50%%; Memory: 14G; Ping: 2.728
15:43:15; Query_time: 8; CPU: 4.78%%; Memory: 14G; Ping: 3.236
15:43:17; Query_time: 4; CPU: 4.53%%; Memory: 14G; Ping: 19.904
15:43:19; Query_time: 8; CPU: 5.25%%; Memory: 14G; Ping: 2.695
15:43:21; Query_time: 11; CPU: 13.5%%; Memory: 14G; Ping: 3.340
15:43:23; Query_time: 12; CPU: 4.70%%; Memory: 14G; Ping: 3.703
15:43:25; Query_time: 18; CPU: 3.3%%; Memory: 14G; Ping: 3.642
15:43:27; Query_time: 7; CPU: 3.73%%; Memory: 14G; Ping: 3.239
15:43:29; Query_time: 7; CPU: 3.85%%; Memory: 14G; Ping: 3.347
15:43:31; Query_time: 14; CPU: 3.81%%; Memory: 14G; Ping: 3.615
15:43:33; Query_time: 11; CPU: 4.80%%; Memory: 14G; Ping: 14.412
15:43:35; Query_time: 4; CPU: 4.65%%; Memory: 14G; Ping: 7.343
15:43:37; Query_time: 3; CPU: 3.85%%; Memory: 14G; Ping: 4.685
15:43:39; Query_time: 3; CPU: 4.52%%; Memory: 14G; Ping: 6.531
15:43:41; Query_time: 3; CPU: 5.69%%; Memory: 14G; Ping: 3.429
15:43:43; Query_time: 7; CPU: 4.67%%; Memory: 14G; Ping: 3.728
15:43:45; Query_time: 4; CPU: 5.26%%; Memory: 14G; Ping: 5.364
15:43:47; Query_time: 13; CPU: 2.91%%; Memory: 14G; Ping: 4.103
15:43:48; Query_time: 4; CPU: 3.52%%; Memory: 14G; Ping: 4.320
15:43:50; Query_time: 3; CPU: 5.88%%; Memory: 14G; Ping: 3.279
15:43:52; Query_time: 4; CPU: 4.58%%; Memory: 14G; Ping: 3.451
15:43:54; Query_time: 3; CPU: 4.54%%; Memory: 14G; Ping: 3.368
15:43:56; Query_time: 5; CPU: 3.73%%; Memory: 14G; Ping: 6.439
15:43:58; Query_time: 3; CPU: 4.56%%; Memory: 14G; Ping: 6.401
15:44:00; Query_time: 3; CPU: 4.80%%; Memory: 14G; Ping: 5.704
15:44:02; Query_time: 6; CPU: 5.38%%; Memory: 14G; Ping: 5.583
15:44:04; Query_time: 3; CPU: 5.25%%; Memory: 14G; Ping: 6.487
15:44:06; Query_time: 3; CPU: 4.28%%; Memory: 14G; Ping: 9.568
15:44:08; Query_time: 17; CPU: 5.14%%; Memory: 14G; Ping: 6.076
15:44:10; Query_time: 17; CPU: 5.49%%; Memory: 14G; Ping: 8.849
15:44:12; Query_time: 9; CPU: 4.21%%; Memory: 14G; Ping: 7.609
15:44:14; Query_time: 8; CPU: 4.8%%; Memory: 14G; Ping: 9.856
15:44:16; Query_time: 9; CPU: 4.32%%; Memory: 14G; Ping: 13.204
15:44:18; Query_time: 4; CPU: 4.91%%; Memory: 14G; Ping: 7.123
15:44:20; Query_time: 10; CPU: 3.5%%; Memory: 14G; Ping: 7.015
15:44:22; Query_time: 8; CPU: 4.16%%; Memory: 14G; Ping: 4.827
15:44:24; Query_time: 11; CPU: 3.74%%; Memory: 14G; Ping: 37.254
15:44:26; Query_time: 17; CPU: 3.74%%; Memory: 14G; Ping: 7.752
15:44:28; Query_time: 80; CPU: 3.86%%; Memory: 14G; Ping: 32.430
15:44:30; Query_time: 9; CPU: 3.16%%; Memory: 14G; Ping: 
15:44:43; Query_time: 19; CPU: 3.94%%; Memory: 14G; Ping: 4.886
15:44:45; Query_time: 11; CPU: 4.31%%; Memory: 14G; Ping: 17.271
15:44:47; Query_time: 9; CPU: 3.93%%; Memory: 14G; Ping: 4.034
15:44:49; Query_time: 4; CPU: 3.84%%; Memory: 14G; Ping: 5.658
15:44:51; Query_time: 8; CPU: 4.31%%; Memory: 14G; Ping: 25.121
15:44:58; Query_time: 40; CPU: 4.93%%; Memory: 14G; Ping: 8.306
15:45:00; Query_time: 10; CPU: 5.11%%; Memory: 14G; Ping: 4.503
15:45:02; Query_time: 10; CPU: 4.21%%; Memory: 14G; Ping: 8.332
15:45:04; Query_time: 7; CPU: 5.23%%; Memory: 14G; Ping: 4.430
15:45:06; Query_time: 7; CPU: 3.15%%; Memory: 14G; Ping: 13.806
15:45:08; Query_time: 38; CPU: 3.74%%; Memory: 14G; Ping: 4.784
15:45:10; Query_time: 11; CPU: 5.12%%; Memory: 14G; Ping: 13.210
15:45:12; Query_time: 45; CPU: 3.73%%; Memory: 14G; Ping: 5.172
15:45:14; Query_time: 8; CPU: 3.49%%; Memory: 14G; Ping: 29.426
15:45:16; Query_time: 21; CPU: 2.93%%; Memory: 14G; Ping: 3.557
15:45:18; Query_time: 41; CPU: 4.56%%; Memory: 14G; Ping: 24.816
15:45:20; Query_time: 10; CPU: 4.55%%; Memory: 14G; Ping: 8.274
15:45:22; Query_time: 14; CPU: 4.67%%; Memory: 14G; Ping: 7.052
15:45:24; Query_time: 13; CPU: 4.8%%; Memory: 14G; Ping: 8.024
15:45:26; Query_time: 64; CPU: 4.90%%; Memory: 14G; Ping: 66.006
15:45:28; Query_time: 69; CPU: 5.14%%; Memory: 14G; Ping: 4.272
15:45:30; Query_time: 22; CPU: 4.87%%; Memory: 14G; Ping: 8.274
15:45:32; Query_time: 6; CPU: 4.77%%; Memory: 14G; Ping: 47.103
15:45:34; Query_time: 57; CPU: 4.56%%; Memory: 14G; Ping: 80.177
15:45:37; Query_time: 55; CPU: 3.22%%; Memory: 14G; Ping: 6.810
15:45:39; Query_time: 87; CPU: 4.7%%; Memory: 14G; Ping: 9.451
15:45:41; Query_time: 43; CPU: 5.14%%; Memory: 14G; Ping: 4.974
15:45:43; Query_time: 43; CPU: 5.4%%; Memory: 14G; Ping: 21.500
15:45:45; Query_time: 129; CPU: 4.10%%; Memory: 14G; Ping: 24.746
15:45:47; Query_time: 68; CPU: 4.80%%; Memory: 14G; Ping: 10.234
15:45:49; Query_time: 21; CPU: 3.70%%; Memory: 14G; Ping: 13.277
15:45:51; Query_time: 44; CPU: 4.9%%; Memory: 14G; Ping: 22.887
15:45:53; Query_time: 25; CPU: 5.82%%; Memory: 14G; Ping: 9.401
15:45:55; Query_time: 5; CPU: 4.44%%; Memory: 14G; Ping: 12.743
15:45:57; Query_time: 10; CPU: 6.75%%; Memory: 14G; Ping: 20.197
15:45:59; Query_time: 10; CPU: 6.16%%; Memory: 14G; Ping: 8.843
15:46:01; Query_time: 5; CPU: 4.78%%; Memory: 14G; Ping: 11.164
