15:51:39; Query_time: 17; CPU: 4.77%%; Memory: 14G; Ping: 10.809
15:51:41; Query_time: 17; CPU: 6.66%%; Memory: 14G; Ping: 5.599
15:51:43; Query_time: 5; CPU: 5.17%%; Memory: 14G; Ping: 8.939
15:51:45; Query_time: 18; CPU: 5.3%%; Memory: 14G; Ping: 40.864
15:51:47; Query_time: 8; CPU: 3.86%%; Memory: 14G; Ping: 4.771
15:51:49; Query_time: 3; CPU: 4.79%%; Memory: 14G; Ping: 6.061
15:51:51; Query_time: 22; CPU: 5.4%%; Memory: 14G; Ping: 12.293
15:51:53; Query_time: 10; CPU: 4.31%%; Memory: 14G; Ping: 6.074
15:51:55; Query_time: 6; CPU: 4.48%%; Memory: 14G; Ping: 4.311
15:51:57; Query_time: 6; CPU: 3.13%%; Memory: 14G; Ping: 9.416
15:51:59; Query_time: 8; CPU: 5.9%%; Memory: 14G; Ping: 10.153
15:52:01; Query_time: 4; CPU: 3.37%%; Memory: 14G; Ping: 7.316
15:52:03; Query_time: 28; CPU: 4.59%%; Memory: 14G; Ping: 5.502
15:52:05; Query_time: 3; CPU: 6.53%%; Memory: 14G; Ping: 10.011
15:52:07; Query_time: 3; CPU: 4.79%%; Memory: 14G; Ping: 17.079
15:52:09; Query_time: 6; CPU: 5.14%%; Memory: 14G; Ping: 6.436
15:52:11; Query_time: 3; CPU: 4.91%%; Memory: 14G; Ping: 2.796
15:52:13; Query_time: 5; CPU: 5.82%%; Memory: 14G; Ping: 2.597
15:52:15; Query_time: 3; CPU: 4.55%%; Memory: 14G; Ping: 3.899
15:52:17; Query_time: 6; CPU: 4.68%%; Memory: 14G; Ping: 7.109
15:52:19; Query_time: 3; CPU: 5.50%%; Memory: 14G; Ping: 5.816
15:52:21; Query_time: 3; CPU: 5.95%%; Memory: 14G; Ping: 7.955
15:52:23; Query_time: 8; CPU: 5.26%%; Memory: 14G; Ping: 18.162
15:52:25; Query_time: 5; CPU: 5.84%%; Memory: 14G; Ping: 8.608
15:52:27; Query_time: 6; CPU: 4.82%%; Memory: 14G; Ping: 5.038
15:52:29; Query_time: 6; CPU: 3.94%%; Memory: 14G; Ping: 6.769
15:52:31; Query_time: 6; CPU: 5.49%%; Memory: 14G; Ping: 4.409
15:52:33; Query_time: 4; CPU: 5.61%%; Memory: 14G; Ping: 2.648
15:52:35; Query_time: 3; CPU: 4.32%%; Memory: 14G; Ping: 23.625
15:52:37; Query_time: 6; CPU: 5.35%%; Memory: 14G; Ping: 6.276
15:52:39; Query_time: 20; CPU: 3.50%%; Memory: 14G; Ping: 4.237
15:52:41; Query_time: 4; CPU: 4.81%%; Memory: 14G; Ping: 4.274
15:52:43; Query_time: 9; CPU: 5.4%%; Memory: 14G; Ping: 4.592
15:52:45; Query_time: 4; CPU: 5.35%%; Memory: 14G; Ping: 4.519
