
14:40:15; Query_time: 26; CPU: 3.39%%; Memory: 12G; Ping: 37.390
14:40:17; Query_time: 10; CPU: 4.34%%; Memory: 12G; Ping: 41.895
14:40:19; Query_time: 10; CPU: 3.50%%; Memory: 12G; Ping: 32.851
14:40:21; Query_time: 12; CPU: 2.57%%; Memory: 12G; Ping: 33.392
14:40:23; Query_time: 18; CPU: 2.70%%; Memory: 12G; Ping: 34.241
14:40:25; Query_time: 8; CPU: 2.35%%; Memory: 12G; Ping: 31.720
14:40:27; Query_time: 6; CPU: 2.22%%; Memory: 12G; Ping: 32.083
14:40:29; Query_time: 7; CPU: 2.11%%; Memory: 12G; Ping: 31.968
14:40:31; Query_time: 7; CPU: 1.75%%; Memory: 12G; Ping: 46.122
14:40:33; Query_time: 8; CPU: 3.4%%; Memory: 12G; Ping: 30.685
14:40:35; Query_time: 45; CPU: 2.33%%; Memory: 12G; Ping: 
14:40:48; Query_time: 4; CPU: 4.8%%; Memory: 12G; Ping: 32.473
14:40:50; Query_time: 8; CPU: 2.33%%; Memory: 12G; Ping: 33.054
14:40:52; Query_time: 7; CPU: 2.23%%; Memory: 12G; Ping: 32.652
14:40:54; Query_time: 7; CPU: 40.83%%; Memory: 13G; Ping: 29.995
14:40:56; Query_time: 6; CPU: 18.85%%; Memory: 13G; Ping: 31.023
14:40:58; Query_time: 5; CPU: 10.87%%; Memory: 13G; Ping: 30.380
14:41:00; Query_time: 5; CPU: 10.58%%; Memory: 13G; Ping: 30.049
14:41:02; Query_time: 8; CPU: 11.12%%; Memory: 13G; Ping: 30.436
14:41:04; Query_time: 3; CPU: 10.13%%; Memory: 13G; Ping: 30.341
14:41:06; Query_time: 8; CPU: 13.45%%; Memory: 13G; Ping: 30.415
14:41:08; Query_time: 4; CPU: 13.95%%; Memory: 13G; Ping: 31.556
14:41:10; Query_time: 5; CPU: 12.93%%; Memory: 13G; Ping: 30.395
14:41:12; Query_time: 8; CPU: 3.96%%; Memory: 13G; Ping: 30.447
14:41:14; Query_time: 5; CPU: 3.3%%; Memory: 13G; Ping: 32.878
14:41:16; Query_time: 7; CPU: 2.57%%; Memory: 13G; Ping: 31.467
14:41:18; Query_time: 23; CPU: 3.3%%; Memory: 13G; Ping: 31.094
14:41:20; Query_time: 19; CPU: 2.92%%; Memory: 13G; Ping: 30.923
14:41:22; Query_time: 36; CPU: 2.57%%; Memory: 13G; Ping: 31.763
14:41:24; Query_time: 37; CPU: 3.15%%; Memory: 13G; Ping: 32.186
14:41:26; Query_time: 6; CPU: 5.81%%; Memory: 13G; Ping: 30.273
14:41:28; Query_time: 9; CPU: 4.10%%; Memory: 12G; Ping: 29.054
14:41:30; Query_time: 8; CPU: 3.37%%; Memory: 12G; Ping: 
14:41:43; Query_time: 9; CPU: 3.50%%; Memory: 12G; Ping: 32.180
14:41:45; Query_time: 7; CPU: 2.21%%; Memory: 12G; Ping: 29.868
14:41:47; Query_time: 16; CPU: 1.97%%; Memory: 12G; Ping: 37.119
14:41:49; Query_time: 7; CPU: 3.85%%; Memory: 12G; Ping: 30.110
14:41:51; Query_time: 6; CPU: 4.31%%; Memory: 12G; Ping: 31.629
