14:50:14; Query_time: 16; CPU: 3.83%%; Memory: 13G; Ping: 30.196
14:50:16; Query_time: 7; CPU: 3.50%%; Memory: 13G; Ping: 33.217
14:50:18; Query_time: 8; CPU: 4.32%%; Memory: 13G; Ping: 32.517
14:50:20; Query_time: 8; CPU: 4.8%%; Memory: 13G; Ping: 30.978
14:50:22; Query_time: 7; CPU: 3.62%%; Memory: 13G; Ping: 32.032
14:50:24; Query_time: 372; CPU: 2.67%%; Memory: 13G; Ping: 29.642
14:50:26; Query_time: 6; CPU: 1.99%%; Memory: 13G; Ping: 30.222
14:50:28; Query_time: 6; CPU: 3.50%%; Memory: 13G; Ping: 30.375
14:50:30; Query_time: 6; CPU: 3.39%%; Memory: 13G; Ping: 70.403
14:50:32; Query_time: 6; CPU: 4.57%%; Memory: 13G; Ping: 31.732
14:50:34; Query_time: 14; CPU: 2.32%%; Memory: 13G; Ping: 33.431
14:50:36; Query_time: 6; CPU: 1.97%%; Memory: 13G; Ping: 30.066
14:50:38; Query_time: 6; CPU: 2.57%%; Memory: 13G; Ping: 
14:50:51; Query_time: 4; CPU: 2.57%%; Memory: 13G; Ping: 33.509
14:50:53; Query_time: 13; CPU: 2.45%%; Memory: 13G; Ping: 37.251
14:50:55; Query_time: 6; CPU: 1.97%%; Memory: 13G; Ping: 33.663
14:50:57; Query_time: 7; CPU: 2.10%%; Memory: 13G; Ping: 30.911
14:50:59; Query_time: 5; CPU: 2.80%%; Memory: 13G; Ping: 31.862
14:51:01; Query_time: 19; CPU: 1.87%%; Memory: 13G; Ping: 30.620
14:51:03; Query_time: 6; CPU: 3.15%%; Memory: 13G; Ping: 32.651
14:51:05; Query_time: 14; CPU: 1.87%%; Memory: 13G; Ping: 30.500
14:51:07; Query_time: 5; CPU: 2.23%%; Memory: 13G; Ping: 32.948
14:51:09; Query_time: 14; CPU: 2.45%%; Memory: 13G; Ping: 31.669
14:51:11; Query_time: 6; CPU: 1.86%%; Memory: 13G; Ping: 30.181
14:51:13; Query_time: 5; CPU: 2.69%%; Memory: 13G; Ping: 33.597
14:51:15; Query_time: 7; CPU: 2.69%%; Memory: 13G; Ping: 30.414
14:51:17; Query_time: 6; CPU: 2.69%%; Memory: 13G; Ping: 30.026
14:51:19; Query_time: 16; CPU: 3.37%%; Memory: 13G; Ping: 31.027
14:51:21; Query_time: 10; CPU: 2.45%%; Memory: 13G; Ping: 30.088
14:51:23; Query_time: 6; CPU: 2.45%%; Memory: 13G; Ping: 30.284
14:51:25; Query_time: 5; CPU: 5.52%%; Memory: 13G; Ping: 30.624
14:51:27; Query_time: 15; CPU: 2.23%%; Memory: 13G; Ping: 29.967
14:51:29; Query_time: 15; CPU: 2.10%%; Memory: 13G; Ping: 30.569
14:51:31; Query_time: 4; CPU: 2.21%%; Memory: 13G; Ping: 51.652
14:51:38; Query_time: 4; CPU: 2.68%%; Memory: 13G; Ping: 29.274
14:51:40; Query_time: 43; CPU: 2.0%%; Memory: 13G; Ping: 30.476
14:51:42; Query_time: 8; CPU: 2.33%%; Memory: 13G; Ping: 29.488
14:51:44; Query_time: 6; CPU: 2.33%%; Memory: 13G; Ping: 31.946
14:51:46; Query_time: 11; CPU: 2.20%%; Memory: 13G; Ping: 31.869
14:51:48; Query_time: 5; CPU: 2.80%%; Memory: 13G; Ping: 30.166
14:51:50; Query_time: 139; CPU: 2.23%%; Memory: 13G; Ping: 29.795
14:51:52; Query_time: 5; CPU: 2.21%%; Memory: 13G; Ping: 30.209
14:51:55; Query_time: 113; CPU: 3.97%%; Memory: 13G; Ping: 30.337
14:51:57; Query_time: 11; CPU: 2.10%%; Memory: 13G; Ping: 31.193
14:51:59; Query_time: 7; CPU: 2.80%%; Memory: 13G; Ping: 29.803
14:52:00; Query_time: 4; CPU: 2.22%%; Memory: 13G; Ping: 32.247
