12:50:33; Query_time: 6; CPU: 5.5%%; Memory: 12G; Ping: 66.228
12:50:35; Query_time: 5; CPU: 6.82%%; Memory: 12G; Ping: 6.308
12:50:37; Query_time: 7; CPU: 4.23%%; Memory: 12G; Ping: 5.135
12:50:39; Query_time: 5; CPU: 3.76%%; Memory: 12G; Ping: 16.912
12:50:41; Query_time: 4; CPU: 3.75%%; Memory: 12G; Ping: 110.658
12:50:43; Query_time: 6; CPU: 6.33%%; Memory: 12G; Ping: 4.961
12:50:45; Query_time: 3; CPU: 4.0%%; Memory: 12G; Ping: 64.581
12:50:47; Query_time: 3; CPU: 2.93%%; Memory: 12G; Ping: 51.743
12:50:49; Query_time: 3; CPU: 4.34%%; Memory: 12G; Ping: 24.729
12:50:51; Query_time: 3; CPU: 3.76%%; Memory: 12G; Ping: 108.907
12:50:53; Query_time: 3; CPU: 3.75%%; Memory: 12G; Ping: 107.792
12:50:55; Query_time: 3; CPU: 3.88%%; Memory: 12G; Ping: 6.058
12:50:57; Query_time: 3; CPU: 5.4%%; Memory: 12G; Ping: 112.715
12:50:59; Query_time: 2; CPU: 3.53%%; Memory: 12G; Ping: 14.798
12:51:01; Query_time: 3; CPU: 3.76%%; Memory: 12G; Ping: 114.121
12:51:03; Query_time: 3; CPU: 2.48%%; Memory: 12G; Ping: 113.053
12:51:05; Query_time: 5; CPU: 3.5%%; Memory: 12G; Ping: 112.331
12:51:07; Query_time: 3; CPU: 2.93%%; Memory: 12G; Ping: 6.295
12:51:09; Query_time: 3; CPU: 3.50%%; Memory: 12G; Ping: 20.259
12:51:11; Query_time: 3; CPU: 4.44%%; Memory: 12G; Ping: 107.793
12:51:13; Query_time: 3; CPU: 2.94%%; Memory: 12G; Ping: 17.140
12:51:15; Query_time: 7; CPU: 3.29%%; Memory: 12G; Ping: 115.534
12:51:17; Query_time: 6; CPU: 3.76%%; Memory: 12G; Ping: 110.457
12:51:19; Query_time: 7; CPU: 5.86%%; Memory: 12G; Ping: 104.032
12:51:21; Query_time: 7; CPU: 4.22%%; Memory: 12G; Ping: 109.295
12:51:24; Query_time: 5; CPU: 3.52%%; Memory: 12G; Ping: 114.109
12:51:26; Query_time: 5; CPU: 2.93%%; Memory: 12G; Ping: 4.008
12:51:28; Query_time: 6; CPU: 2.48%%; Memory: 12G; Ping: 19.694
12:51:29; Query_time: 3; CPU: 2.58%%; Memory: 12G; Ping: 112.451
