Time,Query_time,CPU,Memory,Ping
15:56:48,8,5.23,14,4.397
15:56:50,8,5.73,14,54.099
15:56:52,9,6.65,14,2.37
15:56:54,16,4.89,14,4.841
15:56:56,6,4.2,14,15.825
15:56:58,4,4.65,14,2.362
15:57:00,8,4.88,14,10.887
15:57:02,13,6.3,14,4.811
15:57:04,4,4.9,14,3.915
15:57:06,10,4.2,14,10.6
15:57:08,9,5.17,14,18.885
15:57:10,6,4.34,14,8.935
15:57:12,8,4.36,14,6.78
15:57:14,8,2.68,14,6.637
15:57:16,5,4.2,14,2.958
15:57:18,3,5.95,14,17.632
15:57:20,6,6.6,14,7.742
15:57:22,9,5.71,14,7.723
15:57:24,4,4.78,14,9.169
15:57:26,4,4.68,14,7.016
15:57:28,29,4.31,14,4.171
15:57:30,4,3.39,14,12.207
15:57:32,3,5.0,14,3.017
15:57:34,3,4.56,14,4.224
15:57:36,4,4.44,14,4.037
15:57:38,8,4.9,14,7.152
15:57:40,3,5.62,14,3.379
15:57:42,8,3.15,14,4.761
15:57:44,5,3.28,14,6.733
15:57:46,13,3.35,14,6.067
15:57:48,4,3.28,14,34.865
15:57:50,411,3.72,14,12.133
15:57:53,187,6.65,14,28.141
15:57:55,310,5.96,14,40.08
15:58:07,114,5.0,14,38.286
15:58:09,144,5.11,14,157.575
15:58:12,228,4.33,14,32.451
15:58:14,106,4.85,14,31.043
15:58:21,157,5.12,14,35.073
15:58:23,171,4.92,14,62.141
15:58:30,108,4.77,14,37.378
15:58:33,334,4.67,14,65.983
15:58:35,130,5.26,14,25.199
15:58:37,121,5.28,14,33.028
15:58:39,229,3.97,14,43.722
15:58:41,123,5.45,14,4.97
15:58:43,192,6.3,14,76.966
15:58:46,98,5.1,14,76.949
15:58:48,124,4.9,14,28.515
15:58:55,112,3.38,14,26.92
15:59:14,73,5.11,14,44.943
15:59:16,196,5.7,14,63.274
15:59:24,346,5.38,14,5.773
15:59:26,87,4.92,14,17.862
15:59:38,211,3.64,14,12.49
15:59:40,113,3.79,14,158.916
15:59:42,106,3.16,14,38.309
15:59:49,43,5.47,14,9.158
15:59:51,4,4.79,14,5.874
15:59:53,3,7.45,14,3.0
15:59:55,10,5.6,14,20.921
15:59:57,5,4.8,14,3.639
15:59:59,6,4.55,14,9.707
16:00:01,9,4.67,14,7.956
16:00:03,11,4.57,14,7.043
16:00:05,35,4.33,14,14.912
16:00:07,4,5.23,14,5.584
16:00:09,13,5.58,14,6.609
16:00:11,6,4.78,14,7.448
16:00:13,4,4.8,14,4.929
16:00:15,4,5.25,14,8.269
16:00:17,12,4.7,14,2.883
16:00:19,10,5.52,14,3.548
16:00:21,4,4.79,14,4.092
16:00:23,12,4.91,14,16.403
16:00:25,4,4.65,14,4.67
16:00:27,8,3.61,14,10.39
16:00:29,9,5.7,14,3.735
16:00:31,3,5.36,14,8.111
16:00:33,37,5.57,14,5.432
16:00:35,8,4.78,14,22.313
16:00:37,28,4.52,14,3.925
16:00:39,11,4.8,14,4.173
16:00:41,6,4.7,14,33.322
16:00:43,11,5.26,14,14.79
16:00:45,17,3.84,14,10.294
16:00:47,3,5.1,14,13.006
