Time,Query_time,CPU,Memory,Ping
15:43:05,8,7.98,14,3.745
15:43:07,7,7.25,14,2.237
15:43:09,5,5.3,14,10.47
15:43:11,6,4.22,14,3.943
15:43:13,9,5.5,14,2.728
15:43:15,8,4.78,14,3.236
15:43:17,4,4.53,14,19.904
15:43:19,8,5.25,14,2.695
15:43:21,11,13.5,14,3.34
15:43:23,12,4.7,14,3.703
15:43:25,18,3.3,14,3.642
15:43:27,7,3.73,14,3.239
15:43:29,7,3.85,14,3.347
15:43:31,14,3.81,14,3.615
15:43:33,11,4.8,14,14.412
15:43:35,4,4.65,14,7.343
15:43:37,3,3.85,14,4.685
15:43:39,3,4.52,14,6.531
15:43:41,3,5.69,14,3.429
15:43:43,7,4.67,14,3.728
15:43:45,4,5.26,14,5.364
15:43:47,13,2.91,14,4.103
15:43:48,4,3.52,14,4.32
15:43:50,3,5.88,14,3.279
15:43:52,4,4.58,14,3.451
15:43:54,3,4.54,14,3.368
15:43:56,5,3.73,14,6.439
15:43:58,3,4.56,14,6.401
15:44:00,3,4.8,14,5.704
15:44:02,6,5.38,14,5.583
15:44:04,3,5.25,14,6.487
15:44:06,3,4.28,14,9.568
15:44:08,17,5.14,14,6.076
15:44:10,17,5.49,14,8.849
15:44:12,9,4.21,14,7.609
15:44:14,8,4.8,14,9.856
15:44:16,9,4.32,14,13.204
15:44:18,4,4.91,14,7.123
15:44:20,10,3.5,14,7.015
15:44:22,8,4.16,14,4.827
15:44:24,11,3.74,14,37.254
15:44:26,17,3.74,14,7.752
15:44:28,80,3.86,14,32.43
15:44:43,19,3.94,14,4.886
15:44:45,11,4.31,14,17.271
15:44:47,9,3.93,14,4.034
15:44:49,4,3.84,14,5.658
15:44:51,8,4.31,14,25.121
15:44:58,40,4.93,14,8.306
15:45:00,10,5.11,14,4.503
15:45:02,10,4.21,14,8.332
15:45:04,7,5.23,14,4.43
15:45:06,7,3.15,14,13.806
15:45:08,38,3.74,14,4.784
15:45:10,11,5.12,14,13.21
15:45:12,45,3.73,14,5.172
15:45:14,8,3.49,14,29.426
15:45:16,21,2.93,14,3.557
15:45:18,41,4.56,14,24.816
15:45:20,10,4.55,14,8.274
15:45:22,14,4.67,14,7.052
15:45:24,13,4.8,14,8.024
15:45:26,64,4.9,14,66.006
15:45:28,69,5.14,14,4.272
15:45:30,22,4.87,14,8.274
15:45:32,6,4.77,14,47.103
15:45:34,57,4.56,14,80.177
15:45:37,55,3.22,14,6.81
15:45:39,87,4.7,14,9.451
15:45:41,43,5.14,14,4.974
15:45:43,43,5.4,14,21.5
15:45:45,129,4.1,14,24.746
15:45:47,68,4.8,14,10.234
15:45:49,21,3.7,14,13.277
15:45:51,44,4.9,14,22.887
15:45:53,25,5.82,14,9.401
15:45:55,5,4.44,14,12.743
15:45:57,10,6.75,14,20.197
15:45:59,10,6.16,14,8.843
15:46:01,5,4.78,14,11.164
15:46:03,4,4.86,14,7.686
15:46:05,8,4.44,14,5.935
15:46:07,48,4.8,14,4.83
15:46:09,9,4.33,14,3.159
15:46:11,3,4.8,14,6.322
15:46:13,5,4.92,14,7.659
15:46:15,4,3.5,14,14.119
15:46:17,7,6.87,14,4.371
15:46:19,7,4.34,14,6.881
15:46:21,7,4.39,14,11.457
15:46:23,10,4.81,14,5.269
15:46:25,15,4.7,14,6.555
15:46:27,24,5.15,14,4.439
15:46:29,27,5.36,14,6.954
15:46:31,8,4.31,14,7.93
15:46:33,6,4.78,14,7.112
15:46:35,11,4.8,14,12.563
15:46:37,7,5.15,14,6.639
15:46:39,6,4.55,14,6.239
15:46:41,44,4.56,14,7.064
15:46:43,6,3.98,14,7.317
15:46:45,7,3.13,14,3.434
15:46:47,11,3.73,14,2.893
15:46:49,9,3.93,14,4.041
15:46:51,12,4.24,14,4.828
15:46:53,12,4.81,14,4.14
15:46:55,3,3.5,14,3.267
15:46:56,6,3.4,14,11.074
15:46:58,4,5.51,14,5.097
15:47:00,3,5.2,14,2.977
15:47:02,23,5.4,14,2.896
15:47:04,10,6.6,14,3.079
15:47:06,5,4.9,14,6.521
