Time,Query_time,CPU,Memory,Ping
15:51:39,17,4.77,14,10.809
15:51:41,17,6.66,14,5.599
15:51:43,5,5.17,14,8.939
15:51:45,18,5.3,14,40.864
15:51:47,8,3.86,14,4.771
15:51:49,3,4.79,14,6.061
15:51:51,22,5.4,14,12.293
15:51:53,10,4.31,14,6.074
15:51:55,6,4.48,14,4.311
15:51:57,6,3.13,14,9.416
15:51:59,8,5.9,14,10.153
15:52:01,4,3.37,14,7.316
15:52:03,28,4.59,14,5.502
15:52:05,3,6.53,14,10.011
15:52:07,3,4.79,14,17.079
15:52:09,6,5.14,14,6.436
15:52:11,3,4.91,14,2.796
15:52:13,5,5.82,14,2.597
15:52:15,3,4.55,14,3.899
15:52:17,6,4.68,14,7.109
15:52:19,3,5.5,14,5.816
15:52:21,3,5.95,14,7.955
15:52:23,8,5.26,14,18.162
15:52:25,5,5.84,14,8.608
15:52:27,6,4.82,14,5.038
15:52:29,6,3.94,14,6.769
15:52:31,6,5.49,14,4.409
15:52:33,4,5.61,14,2.648
15:52:35,3,4.32,14,23.625
15:52:37,6,5.35,14,6.276
15:52:39,20,3.5,14,4.237
15:52:41,4,4.81,14,4.274
15:52:43,9,5.4,14,4.592
15:52:45,4,5.35,14,4.519
15:52:47,6,5.12,14,2.466
15:52:49,7,4.91,14,12.948
15:52:51,7,6.43,14,20.646
15:52:53,6,5.37,14,2.75
15:52:55,24,5.34,14,5.644
15:52:57,13,5.15,14,7.742
15:52:59,15,5.34,14,21.228
15:53:01,31,6.5,14,26.848
15:53:03,207,5.74,14,8.047
15:53:05,17,5.13,14,43.044
15:53:07,4,5.91,14,4.631
15:53:09,6,5.7,14,3.523
15:53:11,47,3.85,14,18.625
15:53:13,21,3.49,14,11.134
15:53:15,170,3.3,14,37.224
15:53:17,24,3.24,14,7.533
15:53:19,10,4.42,14,7.978
15:53:21,12,3.62,14,7.716
15:53:23,6,9.17,14,13.564
15:53:25,89,4.35,14,20.958
15:53:27,87,4.2,14,25.173
15:53:29,56,4.55,14,11.856
15:53:31,17,4.32,14,75.854
15:53:33,6,4.91,14,15.287
15:53:35,56,5.33,14,27.767
15:53:37,40,4.68,14,23.908
15:53:39,70,4.61,14,17.072
15:53:41,67,3.52,14,35.28
15:53:44,134,5.75,14,27.94
15:53:46,37,4.9,14,7.852
15:53:48,25,4.8,14,35.348
15:53:50,21,5.12,14,46.321
15:53:52,58,5.0,14,21.552
15:53:54,45,6.6,14,6.416
15:54:01,14,5.75,14,14.431
15:54:03,109,6.33,14,11.922
15:54:05,139,4.44,14,46.705
15:54:07,32,4.76,14,18.198
15:54:09,15,5.1,14,11.564
15:54:11,110,4.44,14,11.812
15:54:13,25,4.67,14,11.495
15:54:15,122,3.4,14,25.531
15:54:17,41,3.53,14,12.026
15:54:19,28,3.48,14,10.817
15:54:21,25,2.65,14,65.448
15:54:23,18,4.23,14,50.33
15:54:25,13,4.7,14,15.472
15:54:27,17,4.9,14,8.803
15:54:29,7,3.3,14,29.2
15:54:31,45,3.78,14,4.155
15:54:33,8,4.7,14,13.045
15:54:36,136,4.55,14,6.554
15:54:38,116,4.8,14,42.22
15:54:40,64,3.59,14,16.829
15:54:42,42,3.6,14,32.94
15:54:44,114,3.5,14,28.565
15:54:46,162,3.14,14,10.118
15:54:48,127,5.1,14,7.74
15:54:50,7,4.18,14,17.049
15:54:52,7,3.6,14,5.781
15:54:54,6,3.28,14,13.465
15:54:56,35,3.37,14,4.722
15:54:58,4,3.73,14,5.427
15:55:00,5,5.1,14,3.507
15:55:02,8,3.98,14,9.787
15:55:04,4,4.84,14,7.129
15:55:06,5,4.53,14,3.547
15:55:08,9,5.5,14,3.375
15:55:10,5,6.18,14,9.664
15:55:12,6,3.26,14,9.662
15:55:14,4,3.63,14,4.399
15:55:16,28,3.28,14,4.973
15:55:18,8,4.7,14,6.825
15:55:20,20,3.82,14,7.244
15:55:22,6,4.6,14,8.868
15:55:24,4,4.43,14,4.014
15:55:26,11,3.75,14,4.631
15:55:28,9,3.2,14,2.614
15:55:30,8,3.37,14,3.532
15:55:32,7,4.8,14,9.534
15:55:34,4,4.96,14,6.787
15:55:36,8,4.56,14,4.938
15:55:38,10,5.32,14,13.708
