Time,Query_time,CPU,Memory,Ping
15:47:22,26,6.77,14,4.312
15:47:24,5,8.29,14,5.805
15:47:26,25,5.69,14,3.186
15:47:28,4,6.8,14,4.672
15:47:29,4,4.55,14,2.901
15:47:31,12,5.77,14,3.805
15:47:33,9,5.47,14,2.696
15:47:35,7,4.18,14,3.876
15:47:37,3,4.92,14,25.952
15:47:39,4,5.1,14,8.878
15:47:41,3,5.62,14,4.505
15:47:43,3,3.85,14,6.961
15:47:45,5,3.26,14,5.42
15:47:47,4,6.87,14,7.749
15:47:49,7,3.82,14,3.613
15:47:51,10,4.66,14,3.355
15:47:53,6,5.26,14,3.062
15:47:55,5,4.54,14,12.472
15:47:57,38,4.63,14,4.112
15:47:59,4,4.92,14,10.755
15:48:01,4,4.44,14,9.17
15:48:03,90,7.84,14,5.23
15:48:05,23,5.15,14,5.107
15:48:07,8,5.1,14,22.499
15:48:09,9,5.38,14,6.789
15:48:11,5,4.22,14,6.276
15:48:13,5,5.97,14,2.435
15:48:15,4,5.2,14,4.308
15:48:17,4,7.15,14,3.891
15:48:19,4,5.2,14,10.073
15:48:21,12,5.2,14,10.478
15:48:23,16,6.33,14,14.59
15:48:25,162,4.91,14,29.349
15:48:27,108,6.19,14,36.916
15:48:29,82,6.0,14,32.866
15:48:32,158,5.16,14,24.397
15:48:34,119,4.77,14,62.348
15:48:36,67,3.49,14,12.502
15:48:38,78,3.37,14,15.295
15:48:40,30,3.96,14,34.363
15:48:42,38,4.56,14,66.953
15:48:44,188,4.33,14,41.508
15:48:46,145,5.12,14,15.558
15:48:48,64,5.36,14,13.108
15:48:51,124,5.1,14,110.384
15:48:53,94,5.85,14,12.378
15:48:55,8,5.2,14,12.419
15:48:57,36,4.79,14,4.89
15:48:59,28,6.43,14,5.863
15:49:01,51,4.79,14,25.301
15:49:08,26,5.26,14,78.768
15:49:10,284,6.41,14,39.308
15:49:12,281,5.26,14,51.971
15:49:15,112,4.21,14,55.705
15:49:17,120,4.72,14,14.92
15:49:19,85,4.33,14,15.636
15:49:21,161,5.49,14,9.821
15:49:23,89,3.73,14,26.902
15:49:25,70,3.85,14,7.557
15:49:27,101,3.17,14,13.641
15:49:29,15,3.37,14,9.781
15:49:31,80,2.57,14,4.088
15:49:33,16,3.73,14,20.823
15:49:35,70,4.12,14,18.449
15:49:37,73,3.3,14,15.039
15:49:40,162,3.27,14,6.838
15:49:42,34,3.26,14,42.827
15:49:54,41,5.39,14,5.44
15:49:56,74,3.74,14,15.908
15:49:58,84,5.87,14,15.748
15:50:00,20,4.93,14,15.152
15:50:02,38,4.99,14,5.309
15:50:04,42,5.24,14,6.306
15:50:06,41,5.97,14,12.838
15:50:08,21,5.88,14,25.256
15:50:10,40,4.44,14,27.347
15:50:12,40,5.38,14,22.846
15:50:14,473,5.1,14,27.753
15:50:17,172,3.95,14,9.904
15:50:19,186,4.8,14,31.42
15:50:21,164,4.55,14,65.977
15:50:23,14,5.39,14,8.717
15:50:25,19,4.78,14,16.441
15:50:27,10,4.86,14,5.591
15:50:29,5,5.24,14,21.195
15:50:31,23,5.15,14,18.396
15:50:33,7,4.79,14,5.807
15:50:35,5,3.15,14,7.099
15:50:37,4,3.15,14,5.088
15:50:39,4,3.3,14,7.798
15:50:41,8,4.2,14,9.823
15:50:43,5,3.4,14,15.123
15:50:45,7,3.15,14,5.724
15:50:47,10,3.4,14,2.709
15:50:49,4,4.18,14,5.018
15:50:51,5,3.98,14,5.192
15:50:53,5,4.43,14,4.491
15:50:55,8,4.6,14,4.286
15:50:57,9,2.8,14,12.599
15:50:59,7,5.3,14,6.77
15:51:01,5,4.2,14,5.858
15:51:03,5,4.56,14,7.928
15:51:05,39,2.89,14,6.235
15:51:07,9,4.19,14,4.8
15:51:09,16,3.6,14,4.27
15:51:11,4,2.8,14,7.248
15:51:13,9,4.12,14,16.201
15:51:15,8,4.47,14,3.475
15:51:17,7,6.99,14,8.508
15:51:18,16,5.1,14,16.473
15:51:20,8,5.12,14,3.575
15:51:22,11,5.88,14,6.74
