Time,CPU,Memory
12:22:08,1.5,15.2582
12:22:08,9.2,15.4041
12:22:09,0.7,15.3343
12:22:10,6.7,15.3153
12:22:10,1.5,15.3407
12:22:11,14.7,15.347
12:22:12,6.8,15.3661
12:22:12,0.8,15.3851
12:22:13,16.8,15.9371
12:22:14,24.8,16.2923
12:22:14,0.8,16.2733
12:22:15,19.2,16.9014
12:22:16,9.2,16.7491
12:22:16,3.8,16.6096
12:22:17,3.0,16.6159
12:22:18,0.0,16.6476
12:22:18,2.3,16.5144
12:22:19,0.8,16.5017
12:22:20,0.0,16.876
12:22:21,0.0,16.8443
12:22:21,0.0,16.8887
12:22:22,9.4,17.4978
12:22:23,1.5,17.4978
12:22:23,0.8,17.5105
12:22:24,0.8,17.3201
12:22:25,2.3,17.7642
12:22:25,0.0,17.7833
12:22:26,0.0,17.7325
12:22:27,8.4,18.3543
12:22:27,0.8,18.405
12:22:28,0.7,18.1576
12:22:29,9.9,18.4431
12:22:29,0.7,18.7476
12:22:30,12.1,18.7349
12:22:31,10.9,18.6778
12:22:31,0.8,19.325
12:22:32,0.8,19.179
12:22:33,2.3,19.1219
12:22:33,23.8,19.7373
12:22:34,0.8,19.7691
12:22:35,0.8,19.6485
12:22:36,3.7,19.6676
12:22:36,0.0,17.631
12:22:37,0.7,17.5929
12:22:38,0.8,17.5993
12:22:38,14.9,18.0688
12:22:39,0.0,17.9546
12:22:40,0.0,17.9546
12:22:40,8.3,16.7809
12:22:41,0.8,17.1996
12:22:42,1.5,17.1425
12:22:42,0.8,17.1552
12:22:43,1.5,17.6691
12:22:44,3.0,17.5041
12:22:44,0.8,17.5295
12:22:45,10.0,18.1322
12:22:46,0.8,18.0244
12:22:46,1.5,17.9673
12:22:47,0.8,17.9673
12:22:48,0.8,18.4621
12:22:49,1.5,18.4938
12:22:49,1.5,18.5129
12:22:50,9.1,19.0141
12:22:51,0.8,18.9253
12:22:51,0.7,18.9316
12:22:52,10.7,18.6588
12:22:53,0.7,18.8745
12:22:53,0.7,18.8809
12:22:54,0.8,18.8935
12:22:55,0.8,19.4709
12:22:55,0.8,19.2108
12:22:56,0.7,19.2044
12:22:57,26.1,19.6295
12:22:57,0.8,19.6739
12:22:58,1.5,19.6549
12:22:59,1.5,19.5978
12:22:59,1.6,16.8189
12:23:00,2.3,16.7872
12:23:01,6.3,16.7555
12:23:01,26.5,17.0917
12:23:02,9.1,17.263
12:23:03,3.0,17.2757
12:23:04,5.5,16.6667
12:23:04,3.1,17.1679
12:23:05,4.4,17.1298
12:23:06,5.3,17.1298
12:23:06,16.2,17.6945
12:23:07,3.0,17.5929
12:23:08,3.0,17.5485
12:23:08,8.9,17.6056
12:23:09,6.1,18.0117
12:23:10,3.8,17.9863
12:23:10,3.8,17.9863
12:23:11,8.4,18.6842
12:23:12,8.4,18.5573
12:23:12,2.3,18.5319
12:23:13,15.5,18.2528
12:23:14,21.1,18.4748
12:23:14,21.1,18.5002
12:23:15,4.5,18.4114
12:23:16,16.7,16.5207
12:23:17,3.8,16.3875
12:23:17,2.4,16.3939
12:23:18,21.2,16.6159
12:23:19,4.6,16.8443
12:23:19,39.4,16.7238
12:23:20,8.2,16.7301
12:23:21,3.1,17.3709
12:23:21,2.3,17.0791
12:23:22,3.0,17.0346
12:23:23,21.5,17.5549
12:23:23,3.8,17.5295
12:23:24,3.1,17.5295
12:23:25,8.1,17.5295
12:23:25,4.7,18.0307
12:23:26,3.0,17.9926
12:23:27,4.5,17.9673
12:23:27,15.4,18.4685
12:23:28,2.3,18.4938
12:23:29,2.3,18.4938
12:23:29,17.7,18.7476
12:23:30,3.1,19.0204
12:23:31,4.5,19.0331
12:23:31,9.9,19.0395
12:23:32,3.1,19.4138
12:23:33,3.1,19.3757
12:23:34,9.7,19.3884
12:23:34,14.9,20.0482
12:23:35,2.3,19.9277
12:23:36,7.8,19.9023
12:23:36,5.3,19.934
12:23:37,16.4,19.5724
12:23:38,9.8,19.5343
12:23:38,3.1,19.5597
12:23:39,14.3,17.2313
12:23:40,4.7,16.5969
12:23:40,5.4,16.5398
