12:44:36; Query_time: 3; CPU: 3.39%%; Memory: 12G; Ping: 21.203
12:44:38; Query_time: 3; CPU: 3.88%%; Memory: 12G; Ping: 109.558
12:44:40; Query_time: 3; CPU: 3.41%%; Memory: 12G; Ping: 3.092
12:44:42; Query_time: 4; CPU: 3.65%%; Memory: 12G; Ping: 123.858
12:44:44; Query_time: 3; CPU: 4.70%%; Memory: 12G; Ping: 117.590
12:44:46; Query_time: 6; CPU: 4.23%%; Memory: 12G; Ping: 104.252
12:44:48; Query_time: 3; CPU: 3.18%%; Memory: 12G; Ping: 116.748
12:44:50; Query_time: 6; CPU: 2.93%%; Memory: 12G; Ping: 6.022
12:44:52; Query_time: 3; CPU: 3.98%%; Memory: 12G; Ping: 19.557
12:44:54; Query_time: 3; CPU: 3.76%%; Memory: 12G; Ping: 117.482
12:44:56; Query_time: 3; CPU: 2.0%%; Memory: 12G; Ping: 115.065
12:44:58; Query_time: 7; CPU: 2.46%%; Memory: 12G; Ping: 113.513
12:45:00; Query_time: 5; CPU: 2.70%%; Memory: 12G; Ping: 3.834
12:45:02; Query_time: 6; CPU: 4.80%%; Memory: 12G; Ping: 55.579
12:45:04; Query_time: 3; CPU: 2.80%%; Memory: 12G; Ping: 53.769
12:45:06; Query_time: 4; CPU: 2.57%%; Memory: 12G; Ping: 3.597
12:45:08; Query_time: 4; CPU: 2.71%%; Memory: 12G; Ping: 17.272
12:45:10; Query_time: 3; CPU: 2.21%%; Memory: 12G; Ping: 109.909
12:45:12; Query_time: 3; CPU: 3.28%%; Memory: 12G; Ping: 25.930
12:45:14; Query_time: 3; CPU: 3.99%%; Memory: 12G; Ping: 99.100
12:45:16; Query_time: 3; CPU: 3.6%%; Memory: 12G; Ping: 230.007
12:45:18; Query_time: 3; CPU: 3.41%%; Memory: 12G; Ping: 201.037
12:45:20; Query_time: 3; CPU: 1.99%%; Memory: 12G; Ping: 112.122
12:45:22; Query_time: 4; CPU: 2.10%%; Memory: 12G; Ping: 107.912
12:45:24; Query_time: 4; CPU: 2.58%%; Memory: 12G; Ping: 108.481
12:45:26; Query_time: 6; CPU: 2.47%%; Memory: 12G; Ping: 13.161
12:45:28; Query_time: 3; CPU: 2.71%%; Memory: 12G; Ping: 116.884
12:45:30; Query_time: 4; CPU: 2.10%%; Memory: 12G; Ping: 110.080
12:45:32; Query_time: 4; CPU: 1.99%%; Memory: 12G; Ping: 18.858
12:45:34; Query_time: 3; CPU: 2.57%%; Memory: 12G; Ping: 7.460
12:45:36; Query_time: 7; CPU: 3.5%%; Memory: 12G; Ping: 5.398
12:45:38; Query_time: 3; CPU: 2.46%%; Memory: 12G; Ping: 7.190
12:45:40; Query_time: 9; CPU: 2.46%%; Memory: 12G; Ping: 5.878
12:45:42; Query_time: 7; CPU: 2.69%%; Memory: 12G; Ping: 
12:45:55; Query_time: 4; CPU: 1.88%%; Memory: 12G; Ping: 4.243
12:45:57; Query_time: 7; CPU: 2.58%%; Memory: 12G; Ping: 5.823
