13:03:45; Query_time: 4; CPU: 1.76%%; Memory: 12G; Ping: 6.299
13:03:46; Query_time: 7; CPU: 3.17%%; Memory: 12G; Ping: 3.650
13:03:48; Query_time: 6; CPU: 3.66%%; Memory: 12G; Ping: 5.267
13:03:50; Query_time: 3; CPU: 4.11%%; Memory: 12G; Ping: 53.790
13:03:52; Query_time: 3; CPU: 3.52%%; Memory: 12G; Ping: 4.731
13:03:54; Query_time: 2; CPU: 3.38%%; Memory: 12G; Ping: 70.122
13:03:56; Query_time: 3; CPU: 3.29%%; Memory: 12G; Ping: 113.208
13:03:58; Query_time: 4; CPU: 4.50%%; Memory: 13G; Ping: 29.757
13:04:00; Query_time: 6; CPU: 2.46%%; Memory: 13G; Ping: 
13:04:13; Query_time: 3; CPU: 4.11%%; Memory: 12G; Ping: 5.568
13:04:15; Query_time: 3; CPU: 3.52%%; Memory: 12G; Ping: 21.557
13:04:17; Query_time: 3; CPU: 3.87%%; Memory: 12G; Ping: 60.287
13:04:19; Query_time: 3; CPU: 5.5%%; Memory: 12G; Ping: 13.459
13:04:21; Query_time: 3; CPU: 7.91%%; Memory: 13G; Ping: 16.202
13:04:23; Query_time: 2; CPU: 2.35%%; Memory: 13G; Ping: 19.769
13:04:25; Query_time: 3; CPU: 1.98%%; Memory: 12G; Ping: 103.533
13:04:27; Query_time: 3; CPU: 3.87%%; Memory: 12G; Ping: 115.343
13:04:29; Query_time: 2; CPU: 3.52%%; Memory: 12G; Ping: 14.672
13:04:31; Query_time: 3; CPU: 3.53%%; Memory: 12G; Ping: 114.106
13:04:33; Query_time: 3; CPU: 3.78%%; Memory: 12G; Ping: 5.480
13:04:35; Query_time: 2; CPU: 3.5%%; Memory: 12G; Ping: 6.411
13:04:37; Query_time: 3; CPU: 4.11%%; Memory: 12G; Ping: 3.068
13:04:39; Query_time: 3; CPU: 3.65%%; Memory: 12G; Ping: 43.038
13:04:41; Query_time: 6; CPU: 3.17%%; Memory: 12G; Ping: 108.333
13:04:43; Query_time: 4; CPU: 3.51%%; Memory: 12G; Ping: 109.018
13:04:45; Query_time: 7; CPU: 2.81%%; Memory: 12G; Ping: 109.105
13:04:47; Query_time: 8; CPU: 3.86%%; Memory: 12G; Ping: 2.988
13:04:54; Query_time: 12; CPU: 2.58%%; Memory: 12G; Ping: 5.622
13:04:56; Query_time: 7; CPU: 2.23%%; Memory: 12G; Ping: 4.856
13:04:58; Query_time: 6; CPU: 5.65%%; Memory: 12G; Ping: 6.619
13:05:00; Query_time: 18; CPU: 2.11%%; Memory: 12G; Ping: 5.134
13:05:02; Query_time: 6; CPU: 4.24%%; Memory: 12G; Ping: 4.204
13:05:04; Query_time: 4; CPU: 3.88%%; Memory: 12G; Ping: 3.960
13:05:06; Query_time: 5; CPU: 4.23%%; Memory: 12G; Ping: 7.402
13:05:08; Query_time: 6; CPU: 4.71%%; Memory: 12G; Ping: 7.960
13:05:10; Query_time: 7; CPU: 2.82%%; Memory: 12G; Ping: 5.354
13:05:11; Query_time: 8; CPU: 3.5%%; Memory: 12G; Ping: 6.560
13:05:13; Query_time: 5; CPU: 3.51%%; Memory: 12G; Ping: 5.710
13:05:15; Query_time: 4; CPU: 2.92%%; Memory: 12G; Ping: 6.147
13:05:17; Query_time: 7; CPU: 2.69%%; Memory: 12G; Ping: 7.016
13:05:19; Query_time: 2; CPU: 2.22%%; Memory: 12G; Ping: 5.410
13:05:21; Query_time: 8; CPU: 5.2%%; Memory: 12G; Ping: 5.904
