12:56:45; Query_time: 7; CPU: 2.12%%; Memory: 12G; Ping: 46.590
12:56:47; Query_time: 5; CPU: 4.70%%; Memory: 12G; Ping: 108.711
12:56:49; Query_time: 7; CPU: 3.99%%; Memory: 12G; Ping: 102.809
12:56:52; Query_time: 5; CPU: 3.54%%; Memory: 12G; Ping: 3.470
12:56:53; Query_time: 3; CPU: 3.74%%; Memory: 12G; Ping: 26.271
12:56:55; Query_time: 5; CPU: 2.46%%; Memory: 12G; Ping: 5.642
12:56:57; Query_time: 4; CPU: 3.96%%; Memory: 12G; Ping: 106.647
12:56:59; Query_time: 3; CPU: 2.45%%; Memory: 12G; Ping: 114.898
12:57:01; Query_time: 5; CPU: 3.39%%; Memory: 12G; Ping: 106.781
12:57:04; Query_time: 26; CPU: 3.15%%; Memory: 12G; Ping: 80.768
12:57:06; Query_time: 19; CPU: 2.45%%; Memory: 12G; Ping: 192.761
12:57:08; Query_time: 8; CPU: 4.34%%; Memory: 12G; Ping: 90.100
12:57:10; Query_time: 3; CPU: 2.44%%; Memory: 12G; Ping: 223.113
12:57:12; Query_time: 3; CPU: 5.17%%; Memory: 12G; Ping: 82.744
12:57:14; Query_time: 4; CPU: 2.71%%; Memory: 12G; Ping: 12.153
12:57:16; Query_time: 4; CPU: 3.17%%; Memory: 12G; Ping: 109.767
12:57:18; Query_time: 3; CPU: 3.39%%; Memory: 12G; Ping: 112.196
12:57:20; Query_time: 5; CPU: 2.47%%; Memory: 12G; Ping: 4.324
12:57:22; Query_time: 3; CPU: 3.29%%; Memory: 12G; Ping: 3.241
12:57:24; Query_time: 4; CPU: 3.4%%; Memory: 12G; Ping: 21.684
12:57:26; Query_time: 7; CPU: 3.5%%; Memory: 12G; Ping: 111.907
12:57:28; Query_time: 7; CPU: 2.81%%; Memory: 12G; Ping: 112.549
12:57:30; Query_time: 6; CPU: 2.11%%; Memory: 12G; Ping: 113.279
12:57:32; Query_time: 3; CPU: 3.5%%; Memory: 12G; Ping: 19.885
12:57:34; Query_time: 3; CPU: 2.69%%; Memory: 12G; Ping: 103.476
12:57:36; Query_time: 3; CPU: 3.40%%; Memory: 12G; Ping: 110.775
12:57:38; Query_time: 4; CPU: 3.90%%; Memory: 12G; Ping: 207.051
12:57:40; Query_time: 3; CPU: 2.83%%; Memory: 12G; Ping: 111.838
12:57:42; Query_time: 3; CPU: 3.51%%; Memory: 12G; Ping: 112.948
12:57:44; Query_time: 4; CPU: 3.27%%; Memory: 12G; Ping: 108.799
12:57:46; Query_time: 3; CPU: 2.22%%; Memory: 12G; Ping: 10.258
12:57:48; Query_time: 9; CPU: 4.46%%; Memory: 12G; Ping: 7.039
12:57:50; Query_time: 4; CPU: 4.83%%; Memory: 12G; Ping: 6.747
12:57:52; Query_time: 5; CPU: 2.69%%; Memory: 12G; Ping: 3.272
12:57:54; Query_time: 5; CPU: 3.75%%; Memory: 12G; Ping: 6.004
12:57:56; Query_time: 6; CPU: 1.75%%; Memory: 12G; Ping: 3.474
12:57:58; Query_time: 5; CPU: 3.52%%; Memory: 12G; Ping: 5.830
12:58:00; Query_time: 5; CPU: 3.4%%; Memory: 12G; Ping: 6.239
12:58:07; Query_time: 4; CPU: 2.68%%; Memory: 12G; Ping: 3.034
12:58:09; Query_time: 3; CPU: 4.70%%; Memory: 12G; Ping: 28.658
12:58:11; Query_time: 5; CPU: 2.69%%; Memory: 12G; Ping: 4.821
12:58:13; Query_time: 6; CPU: 2.57%%; Memory: 12G; Ping: 7.699
12:58:15; Query_time: 5; CPU: 2.58%%; Memory: 12G; Ping: 6.282
12:58:17; Query_time: 3; CPU: 3.16%%; Memory: 12G; Ping: 4.731
12:58:19; Query_time: 6; CPU: 3.28%%; Memory: 12G; Ping: 5.760
12:58:21; Query_time: 6; CPU: 3.27%%; Memory: 12G; Ping: 5.956
12:58:23; Query_time: 4; CPU: 2.69%%; Memory: 12G; Ping: 4.354
12:58:24; Query_time: 4; CPU: 2.83%%; Memory: 12G; Ping: 5.707
12:58:26; Query_time: 3; CPU: 2.33%%; Memory: 12G; Ping: 4.511
12:58:29; Query_time: 190; CPU: 3.27%%; Memory: 12G; Ping: 26.485
12:58:31; Query_time: 9; CPU: 2.46%%; Memory: 12G; Ping: 88.036
12:58:33; Query_time: 10; CPU: 2.35%%; Memory: 12G; Ping: 170.135
12:58:35; Query_time: 28; CPU: 2.93%%; Memory: 12G; Ping: 99.095
12:58:37; Query_time: 13; CPU: 4.95%%; Memory: 12G; Ping: 3.516
12:58:39; Query_time: 8; CPU: 4.14%%; Memory: 12G; Ping: 3.745
12:58:41; Query_time: 8; CPU: 3.52%%; Memory: 12G; Ping: 4.802
12:58:43; Query_time: 6; CPU: 3.28%%; Memory: 12G; Ping: 5.509
12:58:45; Query_time: 13; CPU: 2.93%%; Memory: 12G; Ping: 4.389
12:58:46; Query_time: 7; CPU: 2.69%%; Memory: 12G; Ping: 4.054
12:58:48; Query_time: 6; CPU: 3.52%%; Memory: 12G; Ping: 7.334
12:58:50; Query_time: 5; CPU: 3.40%%; Memory: 12G; Ping: 4.518
12:58:52; Query_time: 5; CPU: 2.35%%; Memory: 12G; Ping: 3.837
12:58:54; Query_time: 14; CPU: 2.59%%; Memory: 12G; Ping: 3.704
12:58:56; Query_time: 6; CPU: 2.57%%; Memory: 12G; Ping: 4.544
12:58:58; Query_time: 5; CPU: 6.10%%; Memory: 12G; Ping: 7.067
12:59:00; Query_time: 8; CPU: 2.92%%; Memory: 12G; Ping: 5.780
12:59:02; Query_time: 6; CPU: 2.81%%; Memory: 12G; Ping: 5.890
12:59:04; Query_time: 6; CPU: 2.35%%; Memory: 12G; Ping: 4.471
12:59:06; Query_time: 6; CPU: 2.23%%; Memory: 12G; Ping: 4.297
12:59:08; Query_time: 4; CPU: 2.69%%; Memory: 12G; Ping: 4.691
12:59:10; Query_time: 8; CPU: 1.75%%; Memory: 12G; Ping: 6.169
12:59:12; Query_time: 4; CPU: 3.87%%; Memory: 12G; Ping: 268.337
12:59:14; Query_time: 8; CPU: 3.28%%; Memory: 12G; Ping: 264.463
12:59:16; Query_time: 11; CPU: 2.69%%; Memory: 12G; Ping: 3.882
12:59:18; Query_time: 29; CPU: 3.4%%; Memory: 12G; Ping: 77.327
12:59:20; Query_time: 15; CPU: 2.23%%; Memory: 12G; Ping: 134.039
12:59:22; Query_time: 5; CPU: 3.26%%; Memory: 12G; Ping: 354.814
12:59:25; Query_time: 6; CPU: 2.93%%; Memory: 12G; Ping: 7.517
12:59:27; Query_time: 40; CPU: 2.69%%; Memory: 12G; Ping: 62.971
12:59:29; Query_time: 33; CPU: 2.81%%; Memory: 12G; Ping: 4.289
12:59:31; Query_time: 112; CPU: 2.70%%; Memory: 12G; Ping: 26.707
12:59:33; Query_time: 131; CPU: 2.81%%; Memory: 12G; Ping: 34.560
12:59:35; Query_time: 136; CPU: 2.94%%; Memory: 12G; Ping: 6.281
12:59:37; Query_time: 132; CPU: 3.5%%; Memory: 12G; Ping: 47.350
12:59:39; Query_time: 119; CPU: 2.46%%; Memory: 12G; Ping: 45.775
12:59:41; Query_time: 109; CPU: 3.65%%; Memory: 12G; Ping: 40.373
12:59:43; Query_time: 114; CPU: 5.7%%; Memory: 12G; Ping: 11.709
12:59:45; Query_time: 161; CPU: 3.6%%; Memory: 12G; Ping: 333.311
12:59:48; Query_time: 4; CPU: 3.4%%; Memory: 12G; Ping: 110.599
12:59:50; Query_time: 3; CPU: 4.13%%; Memory: 12G; Ping: 8.450
12:59:52; Query_time: 3; CPU: 2.46%%; Memory: 12G; Ping: 24.050
12:59:54; Query_time: 3; CPU: 2.58%%; Memory: 12G; Ping: 108.602
12:59:56; Query_time: 4; CPU: 2.94%%; Memory: 12G; Ping: 114.883
12:59:58; Query_time: 5; CPU: 3.3%%; Memory: 12G; Ping: 104.644
13:00:00; Query_time: 7; CPU: 4.12%%; Memory: 12G; Ping: 102.608
13:00:02; Query_time: 5; CPU: 2.70%%; Memory: 12G; Ping: 106.283
13:00:04; Query_time: 4; CPU: 2.34%%; Memory: 12G; Ping: 2.972
13:00:06; Query_time: 6; CPU: 2.69%%; Memory: 12G; Ping: 107.452
13:00:08; Query_time: 3; CPU: 2.46%%; Memory: 12G; Ping: 113.131
13:00:10; Query_time: 4; CPU: 4.32%%; Memory: 12G; Ping: 100.882
13:00:12; Query_time: 3; CPU: 3.17%%; Memory: 12G; Ping: 15.924
13:00:14; Query_time: 3; CPU: 2.94%%; Memory: 12G; Ping: 14.786
13:00:16; Query_time: 3; CPU: 2.81%%; Memory: 12G; Ping: 110.382
13:00:18; Query_time: 5; CPU: 2.69%%; Memory: 12G; Ping: 100.304
13:00:20; Query_time: 3; CPU: 2.58%%; Memory: 12G; Ping: 5.677
13:00:22; Query_time: 5; CPU: 3.27%%; Memory: 12G; Ping: 3.526
13:00:24; Query_time: 9; CPU: 3.29%%; Memory: 12G; Ping: 32.059
13:00:26; Query_time: 3; CPU: 2.24%%; Memory: 12G; Ping: 15.176
13:00:28; Query_time: 3; CPU: 2.70%%; Memory: 12G; Ping: 108.054
13:00:30; Query_time: 3; CPU: 2.10%%; Memory: 12G; Ping: 109.893
13:00:32; Query_time: 5; CPU: 1.99%%; Memory: 12G; Ping: 109.509
13:00:34; Query_time: 3; CPU: 2.24%%; Memory: 12G; Ping: 6.077
13:00:36; Query_time: 4; CPU: 2.58%%; Memory: 12G; Ping: 3.513
13:00:38; Query_time: 7; CPU: 2.81%%; Memory: 12G; Ping: 107.267
13:00:40; Query_time: 7; CPU: 2.0%%; Memory: 12G; Ping: 112.848
13:00:42; Query_time: 3; CPU: 1.87%%; Memory: 12G; Ping: 3.795
13:00:44; Query_time: 8; CPU: 2.45%%; Memory: 12G; Ping: 105.982
